FORMULA	SMILES	INCHIKEY
C31H48O6	[H][C@@]12CC[C@@]3(C)[C@@]([H])([C@H](O)C[C@@]4([H])\C([C@H](C[C@]34C)OC(C)=O)=C(/CCC=C(C)C)C(O)=O)[C@@]1(C)CC[C@@H](O)[C@H]2C	IECPWNUMDGFDKC-MZJAQBGESA-N	
C32H43ClN2O9	[H][C@@]12C[C@@](O)(NC(=O)O1)[C@H](OC)\C=C\C=C(C)\Cc1cc(OC)c(Cl)c(c1)N(C)C(=O)C[C@H](OC(=O)C(C)C)[C@]1(C)O[C@@]1([H])[C@@H]2C	OPQNCARIZFLNLF-JBHFWYGFSA-N	
C27H29NO11	CC[C@@]1(O)C[C@H](O[C@H]2C[C@H](N)[C@H](O)[C@H](C)O2)c2c(O)c3C(=O)c4c(O)cccc4C(=O)c3c(O)c2[C@H]1C(O)=O	MMYTYGXIKKVLES-AGMCFEMXSA-N	
C26H29NO10	C1(O)=C2C(C(C=3C(=CC=CC3O)C2=O)=O)=C(O)C4=C1C[C@](C[C@@H]4O[C@H]5C[C@@H]([C@@H]([C@@H](O5)C)O)N)([C@@H](C)O)O	YXBSCYMMPXQFDS-LBIZDXDESA-N	
C42H69NO15	CO[C@H]1[C@@H](CC(=O)O[C@H](C)C\C=C\C=C\[C@H](O)[C@H](C)C[C@H](CC=O)[C@@H]1O[C@@H]1O[C@H](C)[C@@H](O[C@H]2C[C@@](C)(O)[C@@H](OC(=O)CC(C)C)[C@H](C)O2)[C@@H]([C@H]1O)N(C)C)OC(C)=O	XJSFLOJWULLJQS-NGVXBBESSA-N	
C32H44N2O9	CNC(=O)[C@@H](C)[C@@H]1N([C@@H]2CC[C@H](O)[C@H](C)O2)C(=O)\C(=C(\O)/C=C/C(/C)=C/[C@@H](C)[C@H]2O[C@@]3(C)O[C@H](C=C[C@@]33CO3)[C@@H]2C)C1=O	KVTPRMVXYZKLIG-NCAOFHFGSA-N	
C16H24O4	[H][C@@]12C[C@H](O)C[C@@]1([H])[C@H](O)\C=C\C(=O)O[C@@H](C)CCC\C=C\2	KQNZDYYTLMIZCT-KQPMLPITSA-N	
C16H14O6	C[C@@H]1O[C@@H](CC(O)=O)CC2=C1C(=O)c1c(O)cccc1C2=O	ZCJHPTKRISJQTN-JGVFFNPUSA-N	
C19H18ClN3O5S	[H][C@]12SC(C)(C)[C@@H](N1C(=O)[C@H]2NC(=O)c1c(C)onc1-c1ccccc1Cl)C(O)=O	LQOLIRLGBULYKD-JKIFEVAISA-N	
C15H16O5	[H][C@@]12COC(=O)[C@]3(CO3)[C@@]11C=C(C)[C@@H](C)[C@@]1([H])C=C2C(O)=O	NUPNVWUYFVEAIT-UJJBCWTCSA-N	
